Blender 2.82 (sub 7) (hash 375c7dc4caf4 built 2020-03-12 05:30:40)
found bundled python: /usr/local/blender/2.82/python
Read blend: /blender/scene.blend
Fra:1 Mem:78.46M (0.00M, Peak 78.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Cube
Fra:1 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Plane
Fra:1 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Initializing
Fra:1 Mem:78.28M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Waiting for render to start
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Shaders
Fra:1 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Background
Fra:1 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes Flags
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Copying Transformations to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Applying Static Transformations
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair Systems
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair settings | Copying Hair settings to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing attributes
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Building BVH
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH triangles and strands
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH nodes
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building BVH
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing normals
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects Flags
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Images
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera Volume
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights | Computing distribution
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Integrator
Fra:1 Mem:80.08M (0.00M, Peak 80.08M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Film
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.28M, Peak:1.53M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Baking
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory | Compiling render kernels
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:100.61M (0.00M, Peak 100.81M) | Time:00:00.57 | Remaining:00:07.65 | Mem:22.05M, Peak:22.05M | Scene, View Layer | Rendered 34/510 Tiles, Denoised 0 tiles
Fra:1 Mem:100.61M (0.00M, Peak 100.81M) | Time:00:00.57 | Remaining:00:07.64 | Mem:22.05M, Peak:22.05M | Scene, View Layer | Rendered 35/510 Tiles, Denoised 0 tiles
Fra:1 Mem:101.32M (0.00M, Peak 101.52M) | Time:00:00.60 | Remaining:00:07.70 | Mem:22.76M, Peak:22.76M | Scene, View Layer | Rendered 36/510 Tiles, Denoised 0 tiles
Fra:1 Mem:101.69M (0.00M, Peak 101.90M) | Time:00:00.61 | Remaining:00:07.66 | Mem:23.14M, Peak:23.14M | Scene, View Layer | Rendered 37/510 Tiles, Denoised 0 tiles
Fra:1 Mem:102.07M (0.00M, Peak 102.27M) | Time:00:00.62 | Remaining:00:07.72 | Mem:23.51M, Peak:23.51M | Scene, View Layer | Rendered 38/510 Tiles, Denoised 0 tiles
Fra:1 Mem:102.44M (0.00M, Peak 102.64M) | Time:00:00.64 | Remaining:00:07.86 | Mem:23.88M, Peak:23.88M | Scene, View Layer | Rendered 39/510 Tiles, Denoised 0 tiles
Fra:1 Mem:102.81M (0.00M, Peak 103.02M) | Time:00:00.66 | Remaining:00:08.07 | Mem:24.26M, Peak:24.26M | Scene, View Layer | Rendered 40/510 Tiles, Denoised 0 tiles
Fra:1 Mem:103.19M (0.00M, Peak 103.39M) | Time:00:00.67 | Remaining:00:08.18 | Mem:24.63M, Peak:24.63M | Scene, View Layer | Rendered 41/510 Tiles, Denoised 0 tiles
Fra:1 Mem:134.56M (0.00M, Peak 134.76M) | Time:00:01.16 | Remaining:00:15.20 | Mem:56.01M, Peak:56.01M | Scene, View Layer | Rendered 41/510 Tiles, Denoised 1 tiles
Fra:1 Mem:134.56M (0.00M, Peak 134.76M) | Time:00:01.21 | Remaining:00:15.77 | Mem:56.01M, Peak:56.01M | Scene, View Layer | Rendered 41/510 Tiles, Denoised 2 tiles
Fra:1 Mem:134.56M (0.00M, Peak 134.77M) | Time:00:01.27 | Remaining:00:16.49 | Mem:56.01M, Peak:56.14M | Scene, View Layer | Rendered 41/510 Tiles, Denoised 3 tiles
Fra:1 Mem:135.06M (0.00M, Peak 135.26M) | Time:00:01.34 | Remaining:00:17.13 | Mem:56.51M, Peak:56.51M | Scene, View Layer | Rendered 41/510 Tiles, Denoised 4 tiles
Fra:1 Mem:135.56M (0.00M, Peak 135.76M) | Time:00:01.35 | Remaining:00:17.17 | Mem:57.01M, Peak:57.01M | Scene, View Layer | Rendered 42/510 Tiles, Denoised 4 tiles
Fra:1 Mem:135.60M (0.00M, Peak 135.80M) | Time:00:01.41 | Remaining:00:17.65 | Mem:57.04M, Peak:57.17M | Scene, View Layer | Rendered 42/510 Tiles, Denoised 5 tiles
Fra:1 Mem:136.10M (0.00M, Peak 136.30M) | Time:00:01.44 | Remaining:00:17.84 | Mem:57.54M, Peak:57.54M | Scene, View Layer | Rendered 42/510 Tiles, Denoised 6 tiles
Fra:1 Mem:136.60M (0.00M, Peak 136.80M) | Time:00:01.45 | Remaining:00:17.82 | Mem:58.04M, Peak:58.04M | Scene, View Layer | Rendered 42/510 Tiles, Denoised 7 tiles
Fra:1 Mem:137.10M (0.00M, Peak 137.30M) | Time:00:01.48 | Remaining:00:17.82 | Mem:58.54M, Peak:58.54M | Scene, View Layer | Rendered 42/510 Tiles, Denoised 8 tiles
Fra:1 Mem:137.60M (0.00M, Peak 137.80M) | Time:00:01.51 | Remaining:00:17.79 | Mem:59.04M, Peak:59.04M | Scene, View Layer | Rendered 43/510 Tiles, Denoised 8 tiles
Fra:1 Mem:137.60M (0.00M, Peak 137.80M) | Time:00:01.56 | Remaining:00:17.96 | Mem:59.04M, Peak:59.17M | Scene, View Layer | Rendered 43/510 Tiles, Denoised 9 tiles
Fra:1 Mem:138.10M (0.00M, Peak 138.30M) | Time:00:01.57 | Remaining:00:17.87 | Mem:59.54M, Peak:59.54M | Scene, View Layer | Rendered 44/510 Tiles, Denoised 9 tiles
Fra:1 Mem:138.10M (0.00M, Peak 138.30M) | Time:00:01.61 | Remaining:00:17.74 | Mem:59.54M, Peak:59.54M | Scene, View Layer | Rendered 45/510 Tiles, Denoised 9 tiles
Fra:1 Mem:138.60M (0.00M, Peak 138.80M) | Time:00:01.62 | Remaining:00:17.73 | Mem:60.04M, Peak:60.04M | Scene, View Layer | Rendered 46/510 Tiles, Denoised 9 tiles
Fra:1 Mem:139.10M (0.00M, Peak 139.30M) | Time:00:01.63 | Remaining:00:17.76 | Mem:60.54M, Peak:60.54M | Scene, View Layer | Rendered 47/510 Tiles, Denoised 9 tiles
Fra:1 Mem:139.10M (0.00M, Peak 139.30M) | Time:00:01.64 | Remaining:00:17.65 | Mem:60.54M, Peak:60.54M | Scene, View Layer | Rendered 48/510 Tiles, Denoised 9 tiles
Fra:1 Mem:139.10M (0.00M, Peak 139.30M) | Time:00:01.67 | Remaining:00:17.63 | Mem:60.54M, Peak:60.54M | Scene, View Layer | Rendered 49/510 Tiles, Denoised 9 tiles
Fra:1 Mem:139.23M (0.00M, Peak 139.43M) | Time:00:01.72 | Remaining:00:17.98 | Mem:60.67M, Peak:60.67M | Scene, View Layer | Rendered 50/510 Tiles, Denoised 9 tiles
Fra:1 Mem:139.10M (0.00M, Peak 139.43M) | Time:00:01.93 | Remaining:00:20.23 | Mem:60.54M, Peak:60.67M | Scene, View Layer | Rendered 50/510 Tiles, Denoised 10 tiles
Fra:1 Mem:139.10M (0.00M, Peak 139.43M) | Time:00:02.05 | Remaining:00:21.46 | Mem:60.54M, Peak:60.67M | Scene, View Layer | Rendered 50/510 Tiles, Denoised 11 tiles
Fra:1 Mem:139.10M (0.00M, Peak 139.43M) | Time:00:02.15 | Remaining:00:22.39 | Mem:60.54M, Peak:60.67M | Scene, View Layer | Rendered 50/510 Tiles, Denoised 12 tiles
Fra:1 Mem:139.60M (0.00M, Peak 139.80M) | Time:00:02.21 | Remaining:00:22.63 | Mem:61.04M, Peak:61.04M | Scene, View Layer | Rendered 51/510 Tiles, Denoised 12 tiles
Fra:1 Mem:139.60M (0.00M, Peak 139.87M) | Time:00:02.27 | Remaining:00:23.11 | Mem:61.04M, Peak:61.17M | Scene, View Layer | Rendered 51/510 Tiles, Denoised 13 tiles
Fra:1 Mem:140.10M (0.00M, Peak 140.30M) | Time:00:02.29 | Remaining:00:23.18 | Mem:61.54M, Peak:61.54M | Scene, View Layer | Rendered 51/510 Tiles, Denoised 14 tiles
Fra:1 Mem:140.60M (0.00M, Peak 140.80M) | Time:00:02.30 | Remaining:00:23.11 | Mem:62.04M, Peak:62.04M | Scene, View Layer | Rendered 51/510 Tiles, Denoised 15 tiles
Fra:1 Mem:141.10M (0.00M, Peak 141.30M) | Time:00:02.32 | Remaining:00:22.78 | Mem:62.54M, Peak:62.54M | Scene, View Layer | Rendered 52/510 Tiles, Denoised 15 tiles
Fra:1 Mem:141.60M (0.00M, Peak 141.80M) | Time:00:02.34 | Remaining:00:22.58 | Mem:63.04M, Peak:63.04M | Scene, View Layer | Rendered 52/510 Tiles, Denoised 16 tiles
Fra:1 Mem:142.10M (0.00M, Peak 142.30M) | Time:00:02.36 | Remaining:00:22.14 | Mem:63.54M, Peak:63.54M | Scene, View Layer | Rendered 53/510 Tiles, Denoised 16 tiles
Fra:1 Mem:142.60M (0.00M, Peak 142.80M) | Time:00:02.37 | Remaining:00:21.90 | Mem:64.04M, Peak:64.04M | Scene, View Layer | Rendered 54/510 Tiles, Denoised 16 tiles
Fra:1 Mem:142.73M (0.00M, Peak 142.93M) | Time:00:02.38 | Remaining:00:21.55 | Mem:64.17M, Peak:64.17M | Scene, View Layer | Rendered 55/510 Tiles, Denoised 16 tiles
Fra:1 Mem:142.73M (0.00M, Peak 142.93M) | Time:00:02.39 | Remaining:00:21.53 | Mem:64.17M, Peak:64.17M | Scene, View Layer | Rendered 56/510 Tiles, Denoised 16 tiles
Fra:1 Mem:142.60M (0.00M, Peak 142.93M) | Time:00:02.40 | Remaining:00:21.55 | Mem:64.04M, Peak:64.17M | Scene, View Layer | Rendered 57/510 Tiles, Denoised 16 tiles
Fra:1 Mem:142.60M (0.00M, Peak 142.93M) | Time:00:02.43 | Remaining:00:21.68 | Mem:64.04M, Peak:64.17M | Scene, View Layer | Rendered 57/510 Tiles, Denoised 17 tiles
Fra:1 Mem:142.60M (0.00M, Peak 142.93M) | Time:00:02.45 | Remaining:00:21.77 | Mem:64.04M, Peak:64.17M | Scene, View Layer | Rendered 57/510 Tiles, Denoised 18 tiles
Fra:1 Mem:142.60M (0.00M, Peak 142.93M) | Time:00:02.62 | Remaining:00:23.28 | Mem:64.04M, Peak:64.31M | Scene, View Layer | Rendered 57/510 Tiles, Denoised 19 tiles
Fra:1 Mem:143.10M (0.00M, Peak 143.30M) | Time:00:02.66 | Remaining:00:23.23 | Mem:64.54M, Peak:64.54M | Scene, View Layer | Rendered 58/510 Tiles, Denoised 19 tiles
Fra:1 Mem:143.10M (0.00M, Peak 143.30M) | Time:00:02.81 | Remaining:00:24.44 | Mem:64.54M, Peak:64.67M | Scene, View Layer | Rendered 58/510 Tiles, Denoised 20 tiles
Fra:1 Mem:143.60M (0.00M, Peak 143.80M) | Time:00:02.87 | Remaining:00:24.60 | Mem:65.04M, Peak:65.04M | Scene, View Layer | Rendered 59/510 Tiles, Denoised 20 tiles
Fra:1 Mem:143.60M (0.00M, Peak 143.80M) | Time:00:02.97 | Remaining:00:25.41 | Mem:65.04M, Peak:65.04M | Scene, View Layer | Rendered 59/510 Tiles, Denoised 21 tiles
Fra:1 Mem:144.10M (0.00M, Peak 144.30M) | Time:00:03.01 | Remaining:00:25.25 | Mem:65.54M, Peak:65.54M | Scene, View Layer | Rendered 60/510 Tiles, Denoised 21 tiles
Fra:1 Mem:144.10M (0.00M, Peak 144.30M) | Time:00:03.01 | Remaining:00:25.16 | Mem:65.54M, Peak:65.54M | Scene, View Layer | Rendered 60/510 Tiles, Denoised 22 tiles
Fra:1 Mem:144.22M (0.00M, Peak 144.43M) | Time:00:03.04 | Remaining:00:25.31 | Mem:65.67M, Peak:65.67M | Scene, View Layer | Rendered 60/510 Tiles, Denoised 23 tiles
Fra:1 Mem:144.59M (0.00M, Peak 144.87M) | Time:00:03.08 | Remaining:00:25.36 | Mem:66.04M, Peak:66.17M | Scene, View Layer | Rendered 60/510 Tiles, Denoised 24 tiles
Fra:1 Mem:145.09M (0.00M, Peak 145.30M) | Time:00:03.11 | Remaining:00:25.06 | Mem:66.54M, Peak:66.54M | Scene, View Layer | Rendered 60/510 Tiles, Denoised 25 tiles
Fra:1 Mem:145.59M (0.00M, Peak 145.80M) | Time:00:03.11 | Remaining:00:25.00 | Mem:67.04M, Peak:67.04M | Scene, View Layer | Rendered 61/510 Tiles, Denoised 25 tiles
Fra:1 Mem:146.09M (0.00M, Peak 146.30M) | Time:00:03.12 | Remaining:00:24.95 | Mem:67.54M, Peak:67.54M | Scene, View Layer | Rendered 62/510 Tiles, Denoised 25 tiles
Fra:1 Mem:146.09M (0.00M, Peak 146.30M) | Time:00:03.14 | Remaining:00:24.55 | Mem:67.54M, Peak:67.54M | Scene, View Layer | Rendered 62/510 Tiles, Denoised 26 tiles
Fra:1 Mem:146.22M (0.00M, Peak 146.43M) | Time:00:03.14 | Remaining:00:24.42 | Mem:67.67M, Peak:67.67M | Scene, View Layer | Rendered 62/510 Tiles, Denoised 27 tiles
Fra:1 Mem:147.22M (0.00M, Peak 147.43M) | Time:00:03.15 | Remaining:00:24.38 | Mem:68.67M, Peak:68.67M | Scene, View Layer | Rendered 63/510 Tiles, Denoised 27 tiles
Fra:1 Mem:147.59M (0.00M, Peak 147.87M) | Time:00:03.16 | Remaining:00:23.95 | Mem:69.04M, Peak:69.17M | Scene, View Layer | Rendered 64/510 Tiles, Denoised 27 tiles
Fra:1 Mem:147.63M (0.00M, Peak 147.87M) | Time:00:03.20 | Remaining:00:23.62 | Mem:69.08M, Peak:69.20M | Scene, View Layer | Rendered 65/510 Tiles, Denoised 27 tiles
Fra:1 Mem:147.68M (0.00M, Peak 147.88M) | Time:00:03.21 | Remaining:00:23.62 | Mem:69.12M, Peak:69.20M | Scene, View Layer | Rendered 66/510 Tiles, Denoised 27 tiles
Fra:1 Mem:147.72M (0.00M, Peak 147.92M) | Time:00:03.22 | Remaining:00:23.64 | Mem:69.16M, Peak:69.20M | Scene, View Layer | Rendered 67/510 Tiles, Denoised 27 tiles
Fra:1 Mem:147.76M (0.00M, Peak 147.96M) | Time:00:03.43 | Remaining:00:25.13 | Mem:69.20M, Peak:69.35M | Scene, View Layer | Rendered 67/510 Tiles, Denoised 28 tiles
Fra:1 Mem:147.81M (0.00M, Peak 148.01M) | Time:00:03.53 | Remaining:00:25.76 | Mem:69.25M, Peak:69.40M | Scene, View Layer | Rendered 67/510 Tiles, Denoised 29 tiles
Fra:1 Mem:148.31M (0.00M, Peak 148.51M) | Time:00:03.61 | Remaining:00:25.96 | Mem:69.75M, Peak:69.75M | Scene, View Layer | Rendered 68/510 Tiles, Denoised 29 tiles
Fra:1 Mem:148.35M (0.00M, Peak 148.55M) | Time:00:03.65 | Remaining:00:26.15 | Mem:69.79M, Peak:69.79M | Scene, View Layer | Rendered 68/510 Tiles, Denoised 30 tiles
Fra:1 Mem:148.85M (0.00M, Peak 149.05M) | Time:00:03.71 | Remaining:00:26.30 | Mem:70.29M, Peak:70.29M | Scene, View Layer | Rendered 68/510 Tiles, Denoised 31 tiles
Fra:1 Mem:149.35M (0.00M, Peak 149.55M) | Time:00:03.74 | Remaining:00:26.14 | Mem:70.79M, Peak:70.79M | Scene, View Layer | Rendered 69/510 Tiles, Denoised 31 tiles
Fra:1 Mem:149.39M (0.00M, Peak 149.59M) | Time:00:03.78 | Remaining:00:26.25 | Mem:70.83M, Peak:70.83M | Scene, View Layer | Rendered 70/510 Tiles, Denoised 31 tiles
Fra:1 Mem:149.39M (0.00M, Peak 149.59M) | Time:00:03.80 | Remaining:00:26.23 | Mem:70.83M, Peak:70.83M | Scene, View Layer | Rendered 70/510 Tiles, Denoised 32 tiles
Fra:1 Mem:148.89M (0.00M, Peak 150.03M) | Time:00:03.82 | Remaining:00:26.35 | Mem:70.33M, Peak:71.33M | Scene, View Layer | Rendered 70/510 Tiles, Denoised 33 tiles
Fra:1 Mem:149.39M (0.00M, Peak 150.03M) | Time:00:03.83 | Remaining:00:26.21 | Mem:70.83M, Peak:71.33M | Scene, View Layer | Rendered 70/510 Tiles, Denoised 34 tiles
Fra:1 Mem:149.89M (0.00M, Peak 150.18M) | Time:00:03.88 | Remaining:00:25.90 | Mem:71.33M, Peak:71.48M | Scene, View Layer | Rendered 71/510 Tiles, Denoised 34 tiles
Fra:1 Mem:150.39M (0.00M, Peak 150.59M) | Time:00:03.92 | Remaining:00:25.80 | Mem:71.83M, Peak:71.83M | Scene, View Layer | Rendered 72/510 Tiles, Denoised 34 tiles
Fra:1 Mem:150.39M (0.00M, Peak 150.59M) | Time:00:03.95 | Remaining:00:25.78 | Mem:71.83M, Peak:71.83M | Scene, View Layer | Rendered 73/510 Tiles, Denoised 34 tiles
Fra:1 Mem:150.58M (0.00M, Peak 150.78M) | Time:00:03.96 | Remaining:00:25.76 | Mem:72.02M, Peak:72.02M | Scene, View Layer | Rendered 74/510 Tiles, Denoised 34 tiles
Fra:1 Mem:149.72M (0.00M, Peak 150.87M) | Time:00:03.98 | Remaining:00:25.80 | Mem:71.17M, Peak:72.17M | Scene, View Layer | Rendered 74/510 Tiles, Denoised 35 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:04.08 | Remaining:00:26.33 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 74/510 Tiles, Denoised 36 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.21 | Remaining:00:26.82 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 75/510 Tiles, Denoised 36 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:04.37 | Remaining:00:27.79 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 75/510 Tiles, Denoised 37 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.46 | Remaining:00:28.00 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 75/510 Tiles, Denoised 38 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:04.47 | Remaining:00:27.98 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 75/510 Tiles, Denoised 39 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.49 | Remaining:00:28.00 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 76/510 Tiles, Denoised 39 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.54 | Remaining:00:27.92 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 76/510 Tiles, Denoised 40 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:04.61 | Remaining:00:27.81 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 77/510 Tiles, Denoised 40 tiles
Fra:1 Mem:150.43M (0.00M, Peak 150.87M) | Time:00:04.61 | Remaining:00:27.75 | Mem:71.87M, Peak:72.17M | Scene, View Layer | Rendered 78/510 Tiles, Denoised 40 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.66 | Remaining:00:27.66 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 78/510 Tiles, Denoised 41 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.66 | Remaining:00:27.65 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 79/510 Tiles, Denoised 41 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.66 | Remaining:00:27.49 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 79/510 Tiles, Denoised 42 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:04.70 | Remaining:00:27.37 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 79/510 Tiles, Denoised 43 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.72 | Remaining:00:27.38 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 80/510 Tiles, Denoised 43 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.74 | Remaining:00:27.24 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 81/510 Tiles, Denoised 43 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.78 | Remaining:00:27.23 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 82/510 Tiles, Denoised 43 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:04.89 | Remaining:00:27.73 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 82/510 Tiles, Denoised 44 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:04.95 | Remaining:00:27.72 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 83/510 Tiles, Denoised 44 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:05.18 | Remaining:00:28.99 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 83/510 Tiles, Denoised 45 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:05.25 | Remaining:00:29.03 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 84/510 Tiles, Denoised 45 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:05.27 | Remaining:00:29.07 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 84/510 Tiles, Denoised 46 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:05.33 | Remaining:00:29.08 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 85/510 Tiles, Denoised 46 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:05.34 | Remaining:00:29.01 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 85/510 Tiles, Denoised 47 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:05.36 | Remaining:00:28.94 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 85/510 Tiles, Denoised 48 tiles
